,Equipo local,Resultado,Equipo visitante,fecha
0,Barracas Central,1-1,Central Córdoba (Santiago del Estero),1
1,Atlético Tucumán,1-1,Colón Santa Fe,1
2,San Lorenzo,1-1,Independiente,1
3,Banfield,1-2,Newell's Old Boys,1
4,Patronato,1-1,Vélez Sarsfield,1
5,Platense,2-1,Godoy Cruz,1
6,Racing Club,2-0,Huracán,1
7,Talleres de Córdoba,2-0,Sarmiento,1
8,Unión Santa Fe,1-2,Tigre,1
9,Estudiantes de La Plata,1-1,Gimnasia La Plata,1
10,Boca Juniors,2-1,Arsenal de Sarandí,1
11,Defensa y Justicia,0-0,River Plate,1
12,Rosario Central,0-0,Lanús,1
13,Argentinos Juniors,2-1,Aldosivi,1
0,Newell's Old Boys,0-0,San Lorenzo,2
1,Gimnasia La Plata,2-0,Patronato,2
2,Aldosivi,0-1,Estudiantes de La Plata,2
3,Lanús,1-1,Defensa y Justicia,2
4,Huracán,2-0,Rosario Central,2
5,Independiente,1-0,Talleres de Córdoba,2
6,Arsenal de Sarandí,0-0,Banfield,2
7,Tigre,1-1,Barracas Central,2
8,Sarmiento,1-0,Argentinos Juniors,2
9,River Plate,0-0,Atlético Tucumán,2
10,Colón Santa Fe,2-2,Unión Santa Fe,2
11,Godoy Cruz,2-0,Racing Club,2
12,Vélez Sarsfield,0-1,Platense,2
13,Central Córdoba (Santiago del Estero),1-0,Boca Juniors,2
0,San Lorenzo,3-3,Arsenal de Sarandí,3
1,Patronato,1-0,Aldosivi,3
2,Talleres de Córdoba,0-1,Newell's Old Boys,3
3,Defensa y Justicia,1-1,Huracán,3
4,Estudiantes de La Plata,2-1,Sarmiento,3
5,Barracas Central,1-2,Unión Santa Fe,3
6,Atlético Tucumán,2-1,Lanús,3
7,Banfield,2-1,Central Córdoba (Santiago del Estero),3
8,Colón Santa Fe,1-0,River Plate,3
9,Boca Juniors,5-3,Tigre,3
10,Argentinos Juniors,2-1,Independiente,3
11,Rosario Central,1-0,Godoy Cruz,3
12,Platense,1-1,Gimnasia La Plata,3
13,Racing Club,2-0,Vélez Sarsfield,3
0,Arsenal de Sarandí,1-1,Talleres de Córdoba,4
1,Sarmiento,3-1,Patronato,4
2,Tigre,0-1,Banfield,4
3,Huracán,0-0,Atlético Tucumán,4
4,Lanús,1-0,Colón Santa Fe,4
5,Unión Santa Fe,1-5,River Plate,4
6,Barracas Central,1-3,Boca Juniors,4
7,Godoy Cruz,2-1,Defensa y Justicia,4
8,Gimnasia La Plata,3-1,Racing Club,4
9,Vélez Sarsfield,2-0,Rosario Central,4
10,Independiente,2-1,Estudiantes de La Plata,4
11,Newell's Old Boys,1-0,Argentinos Juniors,4
12,Aldosivi,0-0,Platense,4
13,Central Córdoba (Santiago del Estero),0-2,San Lorenzo,4
0,Banfield,1-1,Barracas Central,5
1,Rosario Central,0-1,Gimnasia La Plata,5
2,Boca Juniors,1-2,Unión Santa Fe,5
3,Defensa y Justicia,1-1,Vélez Sarsfield,5
4,Talleres de Córdoba,0-2,Central Córdoba (Santiago del Estero),5
5,Colón Santa Fe,0-1,Huracán,5
6,Estudiantes de La Plata,0-2,Newell's Old Boys,5
7,River Plate,2-1,Lanús,5
8,San Lorenzo,1-1,Tigre,5
9,Platense,0-0,Sarmiento,5
10,Racing Club,5-0,Aldosivi,5
11,Argentinos Juniors,1-1,Arsenal de Sarandí,5
12,Patronato,3-1,Independiente,5
13,Atlético Tucumán,1-1,Godoy Cruz,5
0,Central Córdoba (Santiago del Estero),2-2,Lanús,6
1,Arsenal de Sarandí,1-1,Huracán,6
2,San Lorenzo,1-1,Rosario Central,6
3,Banfield,1-2,Defensa y Justicia,6
4,Newell's Old Boys,1-2,Godoy Cruz,6
5,Argentinos Juniors,0-2,Platense,6
6,Talleres de Córdoba,1-1,Racing Club,6
7,Tigre,1-1,River Plate,6
8,Barracas Central,1-0,Colón Santa Fe,6
9,Sarmiento,0-0,Gimnasia La Plata,6
10,Independiente,1-1,Vélez Sarsfield,6
11,Boca Juniors,2-1,Atlético Tucumán,6
12,Estudiantes de La Plata,1-0,Patronato,6
13,Unión Santa Fe,0-0,Aldosivi,6
0,Rosario Central,1-0,Sarmiento,7
1,Patronato,0-1,Arsenal de Sarandí,7
2,San Lorenzo,2-1,Boca Juniors,7
3,Banfield,2-3,Unión Santa Fe,7
4,Platense,1-1,Newell's Old Boys,7
5,Talleres de Córdoba,0-2,Barracas Central,7
6,Estudiantes de La Plata,2-2,Central Córdoba (Santiago del Estero),7
7,Racing Club,1-0,Independiente,7
8,Atlético Tucumán,2-0,Gimnasia La Plata,7
9,Lanús,2-3,Huracán,7
10,River Plate,0-2,Godoy Cruz,7
11,Colón Santa Fe,2-1,Vélez Sarsfield,7
12,Defensa y Justicia,3-2,Aldosivi,7
13,Argentinos Juniors,2-1,Tigre,7
0,Central Córdoba (Santiago del Estero),1-3,Patronato,8
1,Sarmiento,2-0,Defensa y Justicia,8
2,Aldosivi,0-1,Atlético Tucumán,8
3,Arsenal de Sarandí,1-1,Platense,8
4,Barracas Central,1-3,Argentinos Juniors,8
5,Gimnasia La Plata,0-0,Colón Santa Fe,8
6,Independiente,0-0,Rosario Central,8
7,Newell's Old Boys,0-0,Racing Club,8
8,Boca Juniors,1-0,Talleres de Córdoba,8
9,Godoy Cruz,2-1,Lanús,8
10,Unión Santa Fe,0-0,Huracán,8
11,Banfield,1-1,San Lorenzo,8
12,Tigre,2-1,Estudiantes de La Plata,8
13,Vélez Sarsfield,2-2,River Plate,8
0,Colón Santa Fe,1-1,Aldosivi,9
1,Platense,2-0,Central Córdoba (Santiago del Estero),9
2,Atlético Tucumán,1-0,Sarmiento,9
3,Racing Club,1-1,Arsenal de Sarandí,9
4,Argentinos Juniors,2-0,Boca Juniors,9
5,San Lorenzo,2-2,Unión Santa Fe,9
6,Patronato,1-0,Tigre,9
7,Defensa y Justicia,2-1,Independiente,9
8,Estudiantes de La Plata,3-1,Barracas Central,9
9,Huracán,0-0,Godoy Cruz,9
10,Lanús,2-2,Vélez Sarsfield,9
11,Rosario Central,1-0,Newell's Old Boys,9
12,Talleres de Córdoba,1-0,Banfield,9
13,River Plate,1-0,Gimnasia La Plata,9
0,Sarmiento,1-3,Colón Santa Fe,10
1,Central Córdoba (Santiago del Estero),1-3,Racing Club,10
2,Independiente,0-1,Atlético Tucumán,10
3,Tigre,3-0,Platense,10
4,Aldosivi,0-3,River Plate,10
5,Gimnasia La Plata,1-0,Lanús,10
6,Boca Juniors,3-1,Estudiantes de La Plata,10
7,San Lorenzo,1-1,Talleres de Córdoba,10
8,Banfield,1-1,Argentinos Juniors,10
9,Newell's Old Boys,1-2,Defensa y Justicia,10
10,Unión Santa Fe,2-1,Godoy Cruz,10
11,Vélez Sarsfield,1-1,Huracán,10
12,Arsenal de Sarandí,0-3,Rosario Central,10
13,Barracas Central,2-1,Patronato,10
0,Godoy Cruz,1-1,Vélez Sarsfield,11
1,Talleres de Córdoba,Aplazado,Unión Santa Fe,11
2,Argentinos Juniors,0-1,San Lorenzo,11
3,Estudiantes de La Plata,0-0,Banfield,11
4,Atlético Tucumán,2-0,Newell's Old Boys,11
5,Huracán,0-1,Gimnasia La Plata,11
6,Lanús,0-1,Aldosivi,11
7,Platense,0-0,Barracas Central,11
8,Racing Club,3-3,Tigre,11
9,Patronato,3-0,Boca Juniors,11
10,River Plate,1-2,Sarmiento,11
11,Defensa y Justicia,0-0,Arsenal de Sarandí,11
12,Rosario Central,0-3,Central Córdoba (Santiago del Estero),11
13,Colón Santa Fe,0-3,Independiente,11
0,Gimnasia La Plata,2-0,Godoy Cruz,12
1,Banfield,0-0,Patronato,12
2,Sarmiento,2-1,Lanús,12
3,Arsenal de Sarandí,3-1,Atlético Tucumán,12
4,Barracas Central,0-0,Racing Club,12
5,Talleres de Córdoba,2-0,Argentinos Juniors,12
6,Unión Santa Fe,2-1,Vélez Sarsfield,12
7,Boca Juniors,2-1,Platense,12
8,Aldosivi,0-1,Huracán,12
9,San Lorenzo,0-0,Estudiantes de La Plata,12
10,Independiente,0-1,River Plate,12
11,Newell's Old Boys,0-0,Colón Santa Fe,12
12,Central Córdoba (Santiago del Estero),1-0,Defensa y Justicia,12
13,Tigre,3-1,Rosario Central,12
0,Godoy Cruz,2-0,Aldosivi,13
1,Atlético Tucumán,1-0,Central Córdoba (Santiago del Estero),13
2,Colón Santa Fe,1-1,Arsenal de Sarandí,13
3,Huracán,4-1,Sarmiento,13
4,Platense,3-1,Banfield,13
5,Patronato,3-2,San Lorenzo,13
6,Defensa y Justicia,0-0,Tigre,13
7,Rosario Central,3-1,Barracas Central,13
8,Lanús,1-1,Independiente,13
9,River Plate,4-1,Newell's Old Boys,13
10,Vélez Sarsfield,1-1,Gimnasia La Plata,13
11,Argentinos Juniors,2-0,Unión Santa Fe,13
12,Estudiantes de La Plata,1-0,Talleres de Córdoba,13
13,Racing Club,0-0,Boca Juniors,13
0,Central Córdoba (Santiago del Estero),3-0,Colón Santa Fe,14
1,Sarmiento,1-2,Godoy Cruz,14
2,San Lorenzo,2-0,Platense,14
3,Independiente,1-1,Huracán,14
4,Newell's Old Boys,2-0,Lanús,14
5,Tigre,0-0,Atlético Tucumán,14
6,Arsenal de Sarandí,0-0,River Plate,14
7,Boca Juniors,0-0,Rosario Central,14
8,Barracas Central,3-1,Defensa y Justicia,14
9,Aldosivi,3-2,Vélez Sarsfield,14
10,Talleres de Córdoba,3-3,Patronato,14
11,Unión Santa Fe,0-2,Gimnasia La Plata,14
12,Argentinos Juniors,1-0,Estudiantes de La Plata,14
13,Banfield,0-2,Racing Club,14
0,Colón Santa Fe,2-1,Tigre,15
1,Huracán,1-0,Newell's Old Boys,15
2,Lanús,1-0,Arsenal de Sarandí,15
3,Godoy Cruz,1-1,Independiente,15
4,River Plate,3-0,Central Córdoba (Santiago del Estero),15
5,Defensa y Justicia,0-1,Boca Juniors,15
6,Estudiantes de La Plata,1-0,Unión Santa Fe,15
7,Rosario Central,0-1,Banfield,15
8,Racing Club,1-2,San Lorenzo,15
9,Platense,0-0,Talleres de Córdoba,15
10,Vélez Sarsfield,1-1,Sarmiento,15
11,Patronato,0-0,Argentinos Juniors,15
12,Atlético Tucumán,4-0,Barracas Central,15
13,Gimnasia La Plata,0-0,Aldosivi,15
0,Central Córdoba (Santiago del Estero),2-2,Lanús,16
1,Arsenal de Sarandí,1-1,Huracán,16
2,San Lorenzo,1-1,Rosario Central,16
3,Banfield,1-2,Defensa y Justicia,16
4,Newell's Old Boys,1-2,Godoy Cruz,16
5,Argentinos Juniors,0-2,Platense,16
6,Talleres de Córdoba,1-1,Racing Club,16
7,Tigre,1-1,River Plate,16
8,Barracas Central,1-0,Colón Santa Fe,16
9,Sarmiento,0-0,Gimnasia La Plata,16
10,Independiente,1-1,Vélez Sarsfield,16
11,Boca Juniors,2-1,Atlético Tucumán,16
12,Estudiantes de La Plata,1-0,Patronato,16
13,Unión Santa Fe,0-0,Aldosivi,16
0,Huracán,2-0,Central Córdoba (Santiago del Estero),17
1,Lanús,1-2,Tigre,17
2,Rosario Central,1-0,Talleres de Córdoba,17
3,Aldosivi,1-2,Sarmiento,17
4,Vélez Sarsfield,0-1,Newell's Old Boys,17
5,Racing Club,1-0,Argentinos Juniors,17
6,Gimnasia La Plata,3-1,Independiente,17
7,Patronato,0-0,Unión Santa Fe,17
8,Platense,0-0,Estudiantes de La Plata,17
9,Colón Santa Fe,1-2,Boca Juniors,17
10,River Plate,2-0,Barracas Central,17
11,Defensa y Justicia,0-0,San Lorenzo,17
12,Godoy Cruz,1-0,Arsenal de Sarandí,17
13,Atlético Tucumán,0-0,Banfield,17
0,Independiente,3-0,Aldosivi,18
1,Argentinos Juniors,2-1,Rosario Central,18
2,Unión Santa Fe,1-0,Sarmiento,18
3,Barracas Central,2-0,Lanús,18
4,Patronato,1-0,Platense,18
5,Estudiantes de La Plata,1-0,Racing Club,18
6,Tigre,1-1,Huracán,18
7,Central Córdoba (Santiago del Estero),3-0,Godoy Cruz,18
8,San Lorenzo,1-1,Atlético Tucumán,18
9,Banfield,2-1,Colón Santa Fe,18
10,Arsenal de Sarandí,2-2,Vélez Sarsfield,18
11,Newell's Old Boys,2-0,Gimnasia La Plata,18
12,Boca Juniors,1-0,River Plate,18
13,Talleres de Córdoba,1-0,Defensa y Justicia,18
